1	7032016	GROCERIES	GROCERIES	PACKAGE STORES BEER, WINE AND LIQUOR (BMG INFERRED DEFINITION)	207
1	7032016	PERSONAL SERVICES	PERSONAL SERVICES	FUNERAL SERVICES AND CREMATORIES 	60
1	7032016	FURNISHINGS	HOUSEHOLD	DIRECT MARKETING - OUTBOUND TELEMARKETING MERCHANT	34
1	7032016	ANTIQUES	RETAIL / DEPARTMENT STORES	JEWELRY, PRECIOUS METAL	198
1	7052016	RECREATION	ENTERTAINMENT	STAMP AND COIN STORES 	234
1	7112016	CONTRACTOR/BUSINESS SERVICES	CONTRACTOR / BUSINESS SERVICES	AUTOMATED REFERRAL SERVICE N/A	322
1	7152016	APPLIANCES	RETAIL / DEPARTMENT STORES	FLORISTS SUPPLIES, NURSERY STOCK AND FLOWERS 	222
1	7162016	HEALTHCARE	HEALTHCARE / PHARMACY	DENTISTS AND ORTHODONTISTS 	67
1	7162016	EDUCATION	EDUCATION	SCHOOLS AND EDUCATIONAL SERVICES (NOT ELSEWHERE CLASSIFIED)	5137
1	7182016	RECREATION   	ENTERTAINMENT	ART DEALERS AND GALLERIES 	285
1	7182016	VARIETY STORES	RETAIL / DEPARTMENT STORES	FAMILY CLOTHING STORES 	176
1	7182016	PHARMACY	HEALTHCARE / PHARMACY	HOSPITALS	100
1	7182016	REAL ESTATE	INSURANCE / FINANCIAL SERVICES	INSURANCE CARRIERS, NOT ELSEWHERE CLASSIFIED	286
1	7192016	UTILITIES	UTILITIES / TELECOM	VISAPHONE	51
1	7192016	EDUCATION	EDUCATION	BUSINESS AND SECRETARIAL SCHOOLS 	5505
1	7192016	RETAIL	RETAIL / DEPARTMENT STORES	WHOLESALE CLUBS 	242
1	7192016	RESTAURANTS	RESTAURANTS	BAKERY PRODUCTS	161
1	7232016	BUILDING SUPPLY/WHOLESALE	BUILDING SUPPLY / WHOLESALE	HARDWARE STORES 	1300
1	7292016	APPLIANCES	RETAIL / DEPARTMENT STORES	RETAIL-MISCELLANEOUS RETAIL	115
1	7292016	WHOLESALE CLUBS	RETAIL / DEPARTMENT STORES	MENS AND WOMENS CLOTHING STORES 	211
1	7292016	FURNISHINGS	HOUSEHOLD	FIREPLACES, FIREPLACE SCREENS, ACCESSORIES STORES	59
1	7292016	HOBBIES	ENTERTAINMENT	CAMERA AND PHOTOGRAPHIC SUPPLY STORES 	470
1	8032016	GROCERIES	GROCERIES	GROCERY STORES AND SUPERMARKETS (BMG INFERRED DEFINITION)	235
1	8032016	CLOTHES	RETAIL / DEPARTMENT STORES	COMPUTER SOFTWARE STORES 	105
1	8032016	ENTERTAINMENT	ENTERTAINMENT	MOTION PICTURE THEATERS 	282
1	8082016	CONVENIENCE STORES	RETAIL / DEPARTMENT STORES	MUSIC STORES MUSICAL INSTRUMENTS, PIANOS, AND SHEET MUSIC	275
1	8102016	GIFTS	RETAIL / DEPARTMENT STORES	VIDEO, GAME VIDEO AMUSEMENT GAME SUPPLIES 	155
1	8112016	AIRLINES	AIRLINES / TRANSPORTATION	AERO COACH	1079
1	8112016	AUTO	AUTO / GAS	SHOWCASE RENTAL CARS	68
1	8202016	POSTAGE/DELIVERY	POSTAGE / DELIVERY	POSTAL SERVICES - GOVERNMENT ONLY 	14
1	8202016	GOVERNMENT SERVICES	OTHER	GOVERNMENT SERVICES (NOT ELSEWHERE CLASSIFIED)	77
1	8202016	TELECOM	UTILITIES / TELECOM	TELEGRAPH SERVICES 	93
1	8202016	TAX	TAX	TAX PAYMENTS 	40
1	8232016	OTHER	OTHER	MISCELLANEOUS STORES (BMG INFERRED DEFINITION)	60
1	8262016	WHOLESALE CLUBS	RETAIL / DEPARTMENT STORES	DISCOUNT STORES	285
